pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
59,0,control,6,,0,-,-,0,[],,,[],,[],[],,
60,0,control,6,,0,-,-,0,[],,,[],,[],[],,
61,0,control,6,,0,-,-,0,[],,,[],,[],[],,
62,0,control,6,,3,-,-,0,"[470, 155, 315, 185, 335, 395, 205, 405]",308.125,,[],0.75,"[0.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.0
63,0,control,6,,2,-,-,0,[],,,[],,[],[],,
64,0,control,6,,0,-,-,0,[],,,[],,[],[],,
65,0,control,6,,10,-,-,0,[],,,[],,[],[],,
66,0,control,6,,0,-,-,0,[],,,[],,[],[],,
67,0,control,6,,0,-,-,0,[],,,[],,[],[],,
68,0,control,6,,2,-,-,0,[],,,[],,[],[],,
