pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
17,6,mortgage,3,"[0, 5, 7]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
17,7,mortgage,3,"[1, 5, 6]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,20,female,False,,12.7,mortgage,True,2,1
18,0,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,2,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,3,mortgage,3,"[0, 1, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
18,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,28,female,False,,6.2,mortgage,True,2,1
19,0,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,1,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,3,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
19,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,30,male,False,,13.5,mortgage,True,3,1
20,0,mortgage,3,"[2, 4, 7]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,1,mortgage,3,"[2, 4, 7]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,3,mortgage,3,"[6, 5, 2]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,4,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,5,mortgage,3,"[8, 3, 0]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
20,7,mortgage,3,"[4, 2, 8]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,36,female,False,,18.9,mortgage,True,2,2
21,0,mortgage,3,"[6, 1, 5]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,1,mortgage,3,"[0, 4, 8]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,2,mortgage,3,"[6, 5, 1]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,3,mortgage,3,"[2, 4, 8]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,4,mortgage,3,"[0, 4, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
