pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
44,0,control,4,1.49,"[7.2, 13.8]",14.1,2,Male,23,No.,-,Completion code?,0,[],0,"[3, 2, 2, 4, 2, 4, 4, 3]",3.0,"""[350, 455, 195, 330, 180, 445, 345, 205]""",313.125,"[357.5, 375, 195, 322.5, 195, 402.5, 345, 377.5]",321.25,[],,[],0.6667,"[0.3333333333333333, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.3333
45,0,control,4,0.78,"[7.7, 13.4]",13.6,2,Female,35,Not really,-,,0,[],0,"[1, 2, 2, 2, 2, 1, 2, 3]",1.875,"""[385, 425, 555, 470, 265, 275, 395, 625]""",424.375,"[335, 345, 405, 427.5, 295, 260, 432.5, 580]",385.0,[],,[],0.625,"[0.0, 0.5, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
46,0,control,6,0.0,"[17.3, 0]",,5,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
47,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
48,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
49,0,control,6,0.0,"[8.1, 0]",,1,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
50,0,control,6,0.0,"[10.3, 0]",,2,-,-,-,-,-,0,[],0,"[6, 10]",8.0,"""[550, 405]""",477.5,"[550, 405]",477.5,[],,[],0.0,"[0.0, 0.0]","[0, 0]",0.0,0.0
51,0,control,6,0.0,"[16.8, 0]",,1,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
52,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
53,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
54,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
55,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
56,0,control,6,0.0,"[9.2, 0]",,1,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
57,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
58,0,control,6,0.0,"[14.1, 0]",,3,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
59,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
60,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
61,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
62,0,control,6,0.0,"[13.7, 0]",,3,-,-,-,-,-,0,[],0,"[5, 1, 4, 1, 3, 3, 3, 4]",3.0,"""[470, 155, 315, 185, 335, 395, 205, 405]""",308.125,"[470, 185, 352.5, 185, 342.5, 342.5, 182.5, 367.5]",303.4375,[],,[],0.75,"[0.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.0
63,0,control,6,0.0,"[11.4, 0]",,2,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
64,0,control,6,0.0,"[12.6, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
65,0,control,6,0.0,"[15.9, 0]",,10,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
66,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
67,0,control,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
68,0,control,6,0.0,"[15.2, 0]",,2,-,-,-,-,-,0,[],0,[],,"""[]""",,[],,[],,[],,[],[],,
